bug_type,exc_type,exc_message,filename,lineno,count
functional,FunctionalBug,Invalid ipv4 calculation.,buggy_ipyparse\ipv4_stv.py,134.0,5
invalidity,InvalidityBug,One of the octets are empty,buggy_ipyparse\ipv4_stv.py,80.0,12
invalidity,ParseException,"Expected '.', found ""'""  (at char 1), (line:1, col:2)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found ' '  (at char 2), (line:1, col:3)",pyparsing\core.py,1340.0,7
invalidity,ParseException,"Expected '.', found ' '  (at char 3), (line:1, col:4)",pyparsing\core.py,1340.0,3
invalidity,ParseException,"Expected '.', found ')'  (at char 1), (line:1, col:2)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found ','  (at char 1), (line:1, col:2)",pyparsing\core.py,1340.0,2
invalidity,ParseException,"Expected '.', found '-'  (at char 2), (line:1, col:3)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found '0'  (at char 3), (line:1, col:4)",pyparsing\core.py,1340.0,3
invalidity,ParseException,"Expected '.', found '1'  (at char 7), (line:1, col:8)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found '8'  (at char 2), (line:1, col:3)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found ':'  (at char 1), (line:1, col:2)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found '@'  (at char 5), (line:1, col:6)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found 'I8'  (at char 6), (line:1, col:7)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found '['  (at char 1), (line:1, col:2)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found '['  (at char 3), (line:1, col:4)",pyparsing\core.py,1340.0,3
invalidity,ParseException,"Expected '.', found '\x13'  (at char 6), (line:1, col:7)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found '_'  (at char 1), (line:1, col:2)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found '|'  (at char 3), (line:1, col:4)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found end of text  (at char 2), (line:1, col:3)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found end of text  (at char 4), (line:1, col:5)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected '.', found end of text  (at char 7), (line:1, col:8)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected end of text, found '.'  (at char 7), (line:1, col:8)",pyparsing\core.py,1340.0,1
invalidity,ParseException,"Expected end of text, found '0'  (at char 8), (line:1, col:9)",pyparsing\core.py,1340.0,1
validity,ParseException,"Expected '.', found '0'  (at char 3), (line:1, col:4)",pyparsing\core.py,1340.0,1
validity,ParseException,"Expected '.', found '45'  (at char 2), (line:1, col:3)",pyparsing\core.py,1340.0,3
validity,ParseException,"Expected '.', found '45A255'  (at char 2), (line:1, col:3)",pyparsing\core.py,1340.0,1
validity,ParseException,"Expected '.', found '5'  (at char 2), (line:1, col:3)",pyparsing\core.py,1340.0,4
validity,ParseException,"Expected '.', found '5'  (at char 3), (line:1, col:4)",pyparsing\core.py,1340.0,4
validity,ParseException,"Expected '.', found '5255'  (at char 3), (line:1, col:4)",pyparsing\core.py,1340.0,2
validity,ParseException,"Expected '.', found '55'  (at char 2), (line:1, col:3)",pyparsing\core.py,1340.0,3
